,id,id2,latitude,longitude
0,3386889,SAMEA3275611,None,None
1,3386888,SAMEA3275610,None,None
2,3386885,SAMEA3275607,None,None
3,3386884,SAMEA3275605,None,None
4,7781357,SAMEA104347384,None,None
5,7781325,SAMEA104347352,None,None
6,7781334,SAMEA104347361,None,None
7,7781364,SAMEA104347391,None,None
8,7781332,SAMEA104347359,None,None
9,7781362,SAMEA104347389,None,None
10,7781360,SAMEA104347387,None,None
11,7781366,SAMEA104347393,None,None
12,7781304,SAMEA104347331,None,None
13,7781331,SAMEA104347358,None,None
14,7781369,SAMEA104347396,None,None
15,7781311,SAMEA104347338,None,None
16,7781315,SAMEA104347342,None,None
17,7781330,SAMEA104347357,None,None
18,7781326,SAMEA104347353,None,None
19,7781351,SAMEA104347378,None,None
20,7781382,SAMEA104347409,None,None
21,7781372,SAMEA104347399,None,None
22,7781386,SAMEA104347413,None,None
23,7781338,SAMEA104347365,None,None
24,7781365,SAMEA104347392,None,None
25,7781335,SAMEA104347362,None,None
26,3386881,SAMEA3275602,None,None
27,3386880,SAMEA3275601,None,None
28,3386879,SAMEA3275600,None,None
29,3386874,SAMEA3275586,None,None
30,3386873,SAMEA3275585,None,None
31,3386871,SAMEA3275583,None,None
32,3386861,SAMEA3275573,None,None
33,3386798,SAMEA3275498,None,None
34,3386796,SAMEA3275494,None,None
35,3386795,SAMEA3275493,None,None
36,3386785,SAMEA3275482,None,None
37,3386776,SAMEA3275473,None,None
38,3386774,SAMEA3275471,None,None
39,5944812,SAMN05944812,16.5163,-107.1421
40,5944810,SAMN05944810,16.5163,-107.1421
41,5944807,SAMN05944807,17.0327,-106.5328
42,5944806,SAMN05944806,17.0327,-106.5328
43,5944805,SAMN05944805,17.0327,-106.5328
44,5944804,SAMN05944804,17.0327,-106.5328
45,5944801,SAMN05944801,17.0327,-106.5328
46,5944811,SAMN05944811,16.5163,-107.1421
47,5944808,SAMN05944808,17.0327,-106.5328
