id,GbID,Accession,TaxID,Organism,SpeciesTaxID,SpeciesName,Size
5204311,15149018,GCA_009613035.1,942017,activated sludge metagenome (metagenomes),942017,activated sludge metagenome,866438648
5204301,15148958,GCA_009612975.1,942017,activated sludge metagenome (metagenomes),942017,activated sludge metagenome,1120197414
5204291,15148978,GCA_009612995.1,942017,activated sludge metagenome (metagenomes),942017,activated sludge metagenome,952017202
5204281,15148938,GCA_009612955.1,942017,activated sludge metagenome (metagenomes),942017,activated sludge metagenome,741574196
5204271,15148918,GCA_009612935.1,942017,activated sludge metagenome (metagenomes),942017,activated sludge metagenome,663112901
5204261,15148898,GCA_009612915.1,942017,activated sludge metagenome (metagenomes),942017,activated sludge metagenome,844151368
5204251,15148878,GCA_009612895.1,942017,activated sludge metagenome (metagenomes),942017,activated sludge metagenome,893386189
5204241,15148838,GCA_009612855.1,942017,activated sludge metagenome (metagenomes),942017,activated sludge metagenome,690837909
5204231,15148858,GCA_009612875.1,942017,activated sludge metagenome (metagenomes),942017,activated sludge metagenome,689733375
5204221,15148818,GCA_009612835.1,942017,activated sludge metagenome (metagenomes),942017,activated sludge metagenome,360027237
5204211,15148778,GCA_009612795.1,942017,activated sludge metagenome (metagenomes),942017,activated sludge metagenome,460692754
5204201,15148798,GCA_009612815.1,942017,activated sludge metagenome (metagenomes),942017,activated sludge metagenome,338923704
5204191,15148758,GCA_009612775.1,942017,activated sludge metagenome (metagenomes),942017,activated sludge metagenome,263881803
5204181,15148738,GCA_009612755.1,942017,activated sludge metagenome (metagenomes),942017,activated sludge metagenome,16004705
5115361,14955628,GCA_009469525.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,65675777
5115351,14955638,GCA_009469545.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,28715686
5115341,14955618,GCA_009469505.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,7262086
5115321,14955558,GCA_009469465.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,22480544
5115311,14955518,GCA_009469425.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,40140479
5115301,14955508,GCA_009469435.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,17267964
5115281,14955478,GCA_009469405.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,41934388
5115271,14955458,GCA_009469385.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,36687960
5115261,14955438,GCA_009469365.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,42596889
5114581,14953438,GCA_009467765.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,18130787
5114561,14953378,GCA_009467745.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,14544115
5114551,14953358,GCA_009467715.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,33316702
5114541,14953318,GCA_009467665.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,12157129
5114531,14953308,GCA_009467675.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,10949005
5114511,14953278,GCA_009467645.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,43764042
5114491,14953258,GCA_009467625.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,24034252
5114471,14953218,GCA_009467585.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,34022076
5114461,14953228,GCA_009467605.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,11461042
5114451,14953178,GCA_009467545.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,30535223
5114441,14953168,GCA_009467555.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,17184844
5114431,14953108,GCA_009467495.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,22915528
5114421,14953118,GCA_009467515.1,449393,freshwater metagenome (metagenomes),449393,freshwater metagenome,27628784
