OJHZ01000037.1,Phage_GPA Phage_F Phage_F
OJHZ01002506.1,Flagellin_N Flagellin_C Flagellin_C
OJHZ01000669.1,RraA-like ADH_zinc_N ADH_zinc_N_2 ADH_N
OJHZ01003343.1,Porin_4
OJHZ01000445.1,Pox_VLTF3
OJHZ01010817.1,Lyase_1
OJHZ01011704.1,PP-binding
OJHZ01011873.1,Ribosomal_L20 Ribosomal_L20
OJHZ01012481.1,tRNA-synt_1b
