OJBY01001795.1,DctP DctQ GntR FCD DDE_Tnp_1_4 DctM FA_hydroxylase
OJBY01001393.1,Chromate_transp Chromate_transp PhdYeFM_antitox PIN RVT_1 Resolvase Rep_3 MobA_MobL Chrome_Resist Rhodanese
OJBY01004632.1,NTP_transf_2 NTase_sub_bind
OJBY01001033.1,CLP_protease CbiA RHH_1 PRiA4_ORF3 Resolvase HTH_7 HTH_17 Flavodoxin_2 Rep_3 Resolvase Recombinase
OJBY01000433.1,Gp49 SecB HTH_37 Methylase_S Methylase_S ResIII EcoEI_R_C Helicase_C HSDR_N_2 Methylase_S N6_Mtase HsdM_N TniB rve Mu-transpos_C TniQ Metallophos RNase_T
OJBY01000680.1,CopB Ni_hydr_CYTB Cu-oxidase_3 Cu-oxidase Cu-oxidase_2 Cu-oxidase MobA_MobL ParD_antitoxin T4SS-DNA_transf Ni_hydr_CYTB RPA WGR CbiA ParG Resolvase HTH_38 PepSY_2 VIT1 GerE
OJBY01008400.1,Rep_1
OJBY01000692.1,Response_reg Phage_integrase Response_reg CbiA
OJBY01010253.1,PhdYeFM_antitox YoeB_toxin GSHPx
