LXNH01011238.1,Uncertain - viral or bacterial,3042,+,--
LXNH01018461.1,Chromosome,2444,+,-10.86,TPR_11 TPR_11 TPR_11 TPR_1 TPR_11 TPR_1 TPR_12 TPR_1 TPR_11 TPR_12 TPR_16 TPR_16 TPR_1 TPR_2 TPR_11 TPR_11 TPR_1 TPR_12 TPR_16 TPR_8 TPR_19 TPR_8 TPR_1 TPR_2 TPR_19 TPR_8 TPR_17 TPR_8 TPR_11 TPR_2 TPR_2 TPR_19 TPR_16 TPR_8 TPR_17 TPR_14 TPR_17 TPR_2 TPR_17 TPR_16 TPR_16 TPR_17 TPR_6 TPR_8 TPR_7 TPR_8 TPR_8 TPR_10 TPR_7 TPR_11 TPR_11 TPR_11 TPR_1 TPR_12 TPR_11 TPR_16 TPR_11 TPR_1 TPR_1 TPR_1 TPR_8 TPR_19 TPR_17 TPR_8 TPR_1 TPR_2 TPR_2 TPR_2 TPR_17 TPR_16 TPR_8 TPR_17 TPR_8 TPR_16 TPR_7 TPR_8 TPR_10 TPR_7 TPR_6
LXNH01021584.1,Uncertain - plasmid or chromosomal,2276,+,1.84,OprB SLH OprB SLH
LXNH01022388.1,Uncertain - viral or bacterial,2239,+,--
LXNH01025090.1,Uncertain - viral or bacterial,2127,+,--
LXNH01031831.1,Uncertain - viral or bacterial,1899,+,--
LXNH01032239.1,Virus,1888,+,7.11,Ank Ank
LXNH01032306.1,Uncertain - plasmid or chromosomal,1886,+,2.88,DEDD_Tnp_IS110 Transposase_20
LXNH01035311.1,Chromosome,1808,+,-5.76,2-oxoacid_dh Biotin_lipoyl E3_binding 2-oxoacid_dh Biotin_lipoyl Biotin_lipoyl E3_binding
LXNH01036296.1,Uncertain - viral or bacterial,1785,+,--
LXNH01040210.1,Uncertain - viral or bacterial,1698,+,--
LXNH01041277.1,Uncertain - viral or bacterial,1678,+,--
LXNH01044239.1,Uncertain - viral or bacterial,1622,+,-1.56,Sulfotransfer_3
LXNH01045317.1,Uncertain - viral or bacterial,1603,+,--
LXNH01047193.1,Uncertain - viral or bacterial,1572,+,--
LXNH01049311.1,Uncertain - viral or bacterial,1539,+,--
LXNH01057032.1,Uncertain - viral or bacterial,1434,+,--
LXNH01060725.1,Uncertain - viral or bacterial,1389,+,--
LXNH01064039.1,Uncertain - viral or bacterial,1353,+,--
LXNH01064547.1,Uncertain - viral or bacterial,1348,+,--
LXNH01067249.1,Uncertain - viral or bacterial,1320,+,--
LXNH01069993.1,Uncertain - viral or bacterial,1295,+,--
LXNH01071752.1,Uncertain - plasmid or chromosomal,1279,+,0.33,Aldedh Aldedh
LXNH01071882.1,Uncertain - viral or bacterial,1278,+,--
LXNH01074298.1,Uncertain - viral or bacterial,1257,+,--
LXNH01074417.1,Uncertain - viral or bacterial,1256,+,--
LXNH01077686.1,Uncertain - viral or bacterial,1230,+,--
LXNH01079948.1,Uncertain - viral or bacterial,1212,+,--
LXNH01081506.1,Uncertain - viral or bacterial,1200,+,--
LXNH01082710.1,Uncertain - viral or bacterial,1191,+,--
LXNH01083681.1,Uncertain - viral or bacterial,1184,+,--
LXNH01087334.1,Uncertain - viral or bacterial,1159,+,--
LXNH01087674.1,Uncertain - plasmid or chromosomal,1157,+,-1.02,Flagellin_N Flagellin_C
LXNH01088302.1,Uncertain - viral or bacterial,1152,+,--
LXNH01090698.1,Uncertain - viral or bacterial,1137,+,--
LXNH01091748.1,Uncertain - viral or bacterial,1130,+,2.99,PIN_4 PhoH
LXNH01091883.1,Uncertain - viral or bacterial,1129,+,--
LXNH01093947.1,Uncertain - viral or bacterial,1116,+,--
LXNH01096555.1,Uncertain - viral or bacterial,1101,+,--
LXNH01098739.1,Uncertain - viral or bacterial,1088,+,--
LXNH01104089.1,Uncertain - viral or bacterial,1059,+,0.69,Phage_integrase
LXNH01106175.1,Uncertain - viral or bacterial,1049,+,--
LXNH01108285.1,Uncertain - viral or bacterial,1038,+,--
LXNH01108902.1,Uncertain - viral or bacterial,1035,+,--
LXNH01108989.1,Uncertain - viral or bacterial,1035,+,2.05,PhoH
LXNH01109058.1,Uncertain - plasmid or chromosomal,1034,+,-2.70,MazG Rick_17kDa_Anti Rick_17kDa_Anti
LXNH01110104.1,Uncertain - viral or bacterial,1029,+,--
LXNH01110113.1,Uncertain - viral or bacterial,1029,+,--
LXNH01110241.1,Uncertain - viral or bacterial,1028,+,-1.40,Bac_DnaA_C Bac_DnaA
LXNH01110484.1,Uncertain - plasmid or chromosomal,1027,+,0.72,HTH_Crp_2 cNMP_binding
LXNH01110545.1,Uncertain - viral or bacterial,1027,+,-1.43,Methyltransf_23
LXNH01110726.1,Uncertain - viral or bacterial,1026,+,--
LXNH01110975.1,Uncertain - viral or bacterial,1025,+,--
LXNH01110979.1,Uncertain - plasmid or chromosomal,1025,+,-0.26,adh_short Acetyltransf_10 Acetyltransf_10
LXNH01111026.1,Uncertain - plasmid or chromosomal,1025,+,-1.17,ASL_C2
LXNH01111409.1,Uncertain - viral or bacterial,1023,+,--
LXNH01111944.1,Uncertain - viral or bacterial,1021,+,--
LXNH01112465.1,Uncertain - plasmid or chromosomal,1018,+,-0.09,GST_C_2 GST_C_2
LXNH01113116.1,Uncertain - viral or bacterial,1015,+,-0.38,DNA_gyraseB HATPase_c
LXNH01113184.1,Chromosome,1015,+,-7.33,Ribosomal_L10 Ribosomal_L10
LXNH01113885.1,Uncertain - plasmid or chromosomal,1012,+,-2.54,7TMR-DISM_7TM 7TMR-DISM_7TM 7TMR-DISMED2
LXNH01114216.1,Uncertain - plasmid or chromosomal,1010,+,-1.53,GST_N_2 GST_C GST_N_2 GST_C
LXNH01114756.1,Uncertain - viral or bacterial,1008,+,--
LXNH01114770.1,Uncertain - viral or bacterial,1008,+,--
LXNH01115260.1,Uncertain - viral or bacterial,1005,+,--
LXNH01115300.1,Chromosome,1005,+,-4.97,GST_N_3 GST_C_2 Cytochrom_C1 GST_C Cytochrom_C1
LXNH01115558.1,Uncertain - viral or bacterial,1004,+,--
LXNH01115668.1,Uncertain - plasmid or chromosomal,1004,+,-1.59,polyprenyl_synt
LXNH01115988.1,Uncertain - viral or bacterial,1002,+,--
