#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
mgm4601925.GNFP2O301CBT4S_258_446_- -             61 CDD0003_no_cons      -            320   2.8e-05   23.7   0.0   1   1   1.3e-09   2.9e-05   23.7   0.0    36    86     4    55     1    58 0.92 -
mgm4601925.GNFP2O301B5MMY_1_312_+ -            103 CDD0004_no_cons      -            618      0.78    8.1   3.0   1   1   4.2e-05      0.94    7.8   3.0   140   179    18    57     4    65 0.81 -
mgm4601925.GNFP2O301DYLQ8_1_419_+   -            138 CDD0005_no_cons      -            114   1.4e-18   67.5   0.1   1   1     6e-21   1.8e-18   67.2   0.1     2   105    21   127    20   135 0.86 -
mgm4601925.GNFP2O301EP32B_1_407_+   -            133 CDD0005_no_cons      -            114   3.8e-17   62.9   0.0   1   1   1.5e-19   4.6e-17   62.7   0.0     1    86     5    90     5   106 0.94 -
mgm4601925.GNFP2O301DLS8H_15_514_-  -            164 CDD0005_no_cons      -            114   2.6e-16   60.2   0.0   1   1   1.1e-18   3.3e-16   59.9   0.0    16    87    66   137    50   162 0.86 -
mgm4601925.GNFP2O301DFJU5_89_551_-  -            153 CDD0005_no_cons      -            114   3.5e-16   59.8   0.0   1   1   1.5e-18   4.5e-16   59.5   0.0     1    87    42   128    42   137 0.93 -
mgm4601925.GNFP2O301C26N9_1_462_-   -            153 CDD0005_no_cons      -            114   3.7e-16   59.7   0.0   1   1   1.6e-18   4.9e-16   59.3   0.0    19    86    60   127    36   150 0.88 -
mgm4601925.GNFP2O301CDPK4_1_532_-   -            175 CDD0005_no_cons      -            114   4.3e-16   59.5   0.0   1   1   1.7e-18     5e-16   59.3   0.0    17    87    16    86     1   110 0.87 -
mgm4601925.GNFP2O301CYNEN_1_523_+   -            173 CDD0005_no_cons      -            114     5e-16   59.3   0.0   1   1   2.1e-18   6.4e-16   59.0   0.0    17    87     7    77     3   103 0.87 -
mgm4601925.GNFP2O301C94BH_1_546_+   -            179 CDD0005_no_cons      -            114   1.3e-15   58.0   0.0   1   1   5.4e-18   1.6e-15   57.6   0.0    16    87    47   118    31   136 0.88 -
mgm4601925.GNFP2O301BE8FO_1_309_-   -            102 CDD0005_no_cons      -            114   1.4e-14   54.7   0.1   1   1   5.3e-17   1.6e-14   54.4   0.1     1    74    30   102    30   102 0.96 -
mgm4601925.GNFP2O301AITXR_1_390_-   -            129 CDD0005_no_cons      -            114   2.2e-13   50.8   0.0   1   1   9.5e-16   2.9e-13   50.4   0.0     3    84    46   129    44   129 0.90 -
mgm4601925.GNFP2O301CN55P_165_472_- -            101 CDD0005_no_cons      -            114   2.7e-13   50.5   0.1   1   1     1e-15   3.2e-13   50.3   0.1    32    88    29    85    20    98 0.93 -
mgm4601925.GNFP2O301DO8UY_1_498_+   -            164 CDD0005_no_cons      -            114   3.9e-13   50.0   0.0   1   1   1.7e-15   5.2e-13   49.6   0.0     1    87    65   151    65   161 0.94 -
mgm4601925.GNFP2O301C69JD_1_254_+   -             84 CDD0005_no_cons      -            114   9.3e-13   48.8   0.1   1   1   3.4e-15     1e-12   48.6   0.1    23    87    18    82    12    84 0.93 -
mgm4601925.GNFP2O301CNADT_55_490_+  -            144 CDD0005_no_cons      -            114   2.8e-12   47.2   0.0   1   1     1e-14   3.1e-12   47.1   0.0    19    86    45   112    20   140 0.87 -
mgm4601925.GNFP2O301BUVSW_1_513_+   -            169 CDD0005_no_cons      -            114   4.5e-12   46.6   0.0   1   1     2e-14   6.1e-12   46.1   0.0     1    85    29   113    29   123 0.95 -
mgm4601925.GNFP2O301BQIAT_1_427_+   -            140 CDD0005_no_cons      -            114   5.1e-12   46.4   0.0   1   1   2.2e-14   6.7e-12   46.0   0.0     1    87    42   127    42   135 0.89 -
mgm4601925.GNFP2O301A25TD_1_406_-   -            134 CDD0005_no_cons      -            114   5.3e-12   46.3   0.0   1   1   2.1e-14   6.5e-12   46.0   0.0    22    88    45   111    25   118 0.92 -
mgm4601925.GNFP2O301ADKIU_1_452_+   -            149 CDD0005_no_cons      -            114   6.8e-12   46.0   0.0   1   1   2.8e-14   8.3e-12   45.7   0.0    22    88    21    87     2    94 0.92 -
mgm4601925.GNFP2O301D2NGW_1_414_+   -            136 CDD0005_no_cons      -            114   1.5e-11   44.9   0.0   1   1   6.5e-14     2e-11   44.5   0.0     1    74    63   136    63   136 0.95 -
mgm4601925.GNFP2O301AWL2W_1_281_+   -             92 CDD0005_no_cons      -            114   1.6e-11   44.8   0.0   1   1   5.7e-14   1.7e-11   44.7   0.0    17    87     9    79     2    88 0.86 -
