#                                                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
mgm4747906.NODE_3880_length_1393_cov_53.091888_1_1098_-     -            364 CDD0001_no_cons      -            275   6.1e-91  304.9   0.6   1   1   3.5e-94   7.2e-91  304.6   0.6     1   259    84   363    84   364 0.94 -
mgm4747911.NODE_32034_length_1509_cov_26.257786_204_1584_-  -            457 CDD0001_no_cons      -            275   6.2e-80  268.8   0.0   1   1   4.8e-83     1e-79  268.1   0.0     1   275   159   451   159   451 0.93 -
mgm4747910.NODE_11581_length_399_cov_24.305765_1_475_-      -            158 CDD0001_no_cons      -            275     5e-39  134.6   0.0   1   1   2.7e-42   5.7e-39  134.4   0.0   126   264     1   158     1   158 0.91 -
mgm4747906.NODE_50276_length_261_cov_12.440613_1_341_-      -            113 CDD0001_no_cons      -            275   3.1e-26   92.6   0.1   1   1   1.6e-29   3.4e-26   92.5   0.1   161   271     1   113     1   113 0.98 -
mgm4747911.NODE_14370_length_271_cov_9.874538_1_347_-       -            115 CDD0001_no_cons      -            275   9.1e-26   91.1   0.0   1   1   4.7e-29   9.9e-26   91.0   0.0   163   271     2   114     1   115 0.94 -
mgm4747904.NODE_12295_length_384_cov_5.007812_176_460_-     -             93 CDD0001_no_cons      -            275   1.4e-22   80.6   0.0   1   1   7.3e-26   1.5e-22   80.5   0.0   193   275     5    87     1    87 0.95 -
mgm4747906.NODE_71792_length_1937_cov_22.893133_1500_1709_+ -             67 CDD0001_no_cons      -            275   4.2e-17   62.7   0.1   1   1   2.1e-20   4.4e-17   62.6   0.1    52   116     3    66     1    67 0.96 -
mgm4747911.NODE_60331_length_254_cov_3.480315_1_330_-       -            109 CDD0001_no_cons      -            275   1.3e-11   44.6   0.0   1   1   7.6e-15   1.6e-11   44.4   0.0     7    83    23   104    19   108 0.92 -
mgm4747911.NODE_28563_length_746_cov_18.140751_1_657_+      -            218 CDD0001_no_cons      -            275     0.011   15.4   0.1   1   1   6.3e-06     0.013   15.1   0.1   109   237    23   174     4   199 0.73 -
mgm4747906.NODE_71792_length_1937_cov_22.893133_1014_1364_+ -            115 CDD0001_no_cons      -            275     0.026   14.2   0.0   1   1   2.3e-05     0.047   13.3   0.0     1    21    91   111    91   114 0.93 -
mgm4747906.NODE_1002_length_46171_cov_231.400467_7239_11639_- -           1461 CDD0003_no_cons      -            320     8e-83  278.5   0.9   1   1   7.2e-86   1.5e-82  277.5   0.9     1   318  1137  1456  1137  1458 0.97 -
mgm4747911.NODE_12104_length_550_cov_14.727273_1_626_-        -            208 CDD0003_no_cons      -            320     6e-18   65.3   0.0   1   1   3.2e-21   6.7e-18   65.1   0.0    59   229     6   206     1   208 0.89 -
mgm4747906.NODE_56556_length_228_cov_16.982456_1_308_-        -            102 CDD0003_no_cons      -            320   8.8e-08   31.9   0.0   1   1   4.5e-11   9.5e-08   31.8   0.0   180   234    29    92    11   101 0.92 -
mgm4747911.NODE_41269_length_573_cov_12.729494_1_649_+        -            215 CDD0003_no_cons      -            320   9.7e-06   25.2   0.5   1   1   7.3e-09   1.5e-05   24.5   0.5    97   243    40   172    31   198 0.85 -
mgm4747911.NODE_5831_length_498_cov_16.054216_1_574_+         -            191 CDD0003_no_cons      -            320   3.3e-05   23.4   0.2   1   1   1.7e-08   3.5e-05   23.3   0.2     1   165    12   186    12   191 0.75 -
mgm4747906.NODE_65638_length_287_cov_30.703833_1_274_+        -             90 CDD0003_no_cons      -            320   4.3e-05   23.0   0.1   1   1   2.4e-08   5.1e-05   22.8   0.1   246   311     2    67     1    73 0.85 -
mgm4747911.NODE_1955_length_2885_cov_17.692894_1_258_+        -             85 CDD0003_no_cons      -            320   0.00047   19.6   0.0   1   1   2.6e-07   0.00056   19.4   0.0   251   311     3    62     1    68 0.85 -
mgm4747911.NODE_1066_length_1405_cov_17.643415_925_1480_+     -            184 CDD0003_no_cons      -            320   0.00085   18.8   0.4   1   1   5.1e-07    0.0011   18.5   0.4    11   140    22   161    13   177 0.73 -
mgm4747911.NODE_24062_length_692_cov_18.381502_299_768_-      -            155 CDD0003_no_cons      -            320   0.00099   18.6   0.0   1   1   4.9e-07     0.001   18.5   0.0   151   255    14    99     1   132 0.77 -
mgm4747904.NODE_18100_length_292_cov_76.633560_1_368_+        -            122 CDD0003_no_cons      -            320    0.0083   15.5   0.0   1   1   4.3e-06    0.0089   15.4   0.0   182   249     4    66     2   102 0.86 -
mgm4747909.NODE_17603_length_385_cov_39.877922_1_465_-        -            154 CDD0004_no_cons      -            618     0.024   13.0   0.0   1   1   6.3e-06     0.033   12.5   0.0   232   276    28    72    17    79 0.91 -
mgm4747910.NODE_8505_length_4320_cov_125.724075_1_2660_-      -            883 CDD0004_no_cons      -            618         3    6.1   5.8   1   1    0.0009       4.7    5.4   5.8   107   198   264   358   241   362 0.78 -
mgm4747904.NODE_280_length_15073_cov_1011.017456_9547_15134_+ -           1855 CDD0004_no_cons      -            618       7.9    4.7   5.8   1   1    0.0024        12    4.0   5.8   107   198   264   358   242   362 0.78 -
mgm4747911.NODE_5320_length_11998_cov_698.762695_1_6597_-     -           2195 CDD0004_no_cons      -            618       9.6    4.4   5.8   1   1    0.0029        15    3.8   5.8   107   198   265   359   243   363 0.78 -
mgm4747911.NODE_744_length_34461_cov_51.196629_27044_28985_-  -            644 CDD0006_no_cons      -            188   1.5e-34  119.5   0.0   1   1   3.5e-37   3.7e-34  118.3   0.0     1   185    68   251    68   253 0.91 -
mgm4747906.NODE_15581_length_480_cov_26.662500_1_560_-        -            185 CDD0006_no_cons      -            188   7.5e-17   61.8   0.0   1   1   9.2e-20   9.6e-17   61.5   0.0    17   151    50   184    47   185 0.90 -
mgm4747906.NODE_40505_length_629_cov_61.411766_1_709_+        -            235 CDD0006_no_cons      -            188     8e-15   55.2   0.2   1   1     1e-17   1.1e-14   54.8   0.2    11   167    76   229    71   234 0.88 -
mgm4747911.NODE_37382_length_267_cov_13.183520_1_343_+        -            114 CDD0006_no_cons      -            188   1.8e-13   50.8   0.1   1   1   2.2e-16   2.3e-13   50.4   0.1     5    99    11   108     8   111 0.91 -
mgm4747904.NODE_13254_length_1083_cov_78.010155_1_1158_+      -            383 CDD0006_no_cons      -            188   3.8e-13   49.7   0.4   1   1   6.8e-16   7.1e-13   48.8   0.4    50   185     4   140     2   142 0.87 -
mgm4747911.NODE_42031_length_769_cov_18.500650_22_845_+       -            273 CDD0006_no_cons      -            188   5.6e-11   42.7   0.0   1   1   9.5e-14     1e-10   41.8   0.0     9   164    10   169     3   180 0.80 -
mgm4747911.NODE_589_length_1802_cov_19.156492_1033_1877_+     -            279 CDD0006_no_cons      -            188   3.7e-09   36.7   0.0   1   1   5.4e-12   5.6e-09   36.1   0.0    11   166    62   216    53   227 0.81 -
mgm4747909.NODE_17351_length_13543_cov_30.938049_7089_8943_+  -            615 CDD0006_no_cons      -            188     3e-07   30.5   0.0   1   2       5.5   5.8e+03   -3.0   0.0   173   186   106   119    93   157 0.54 -
mgm4747909.NODE_17351_length_13543_cov_30.938049_7089_8943_+  -            615 CDD0006_no_cons      -            188     3e-07   30.5   0.0   2   2   7.5e-10   7.9e-07   29.1   0.0   100   182   199   279   189   284 0.75 -
mgm4747905.NODE_24_length_5861_cov_1363.481812_767_3493_+     -            903 CDD0006_no_cons      -            188   3.8e-07   30.2   0.0   1   3         6   6.2e+03   -3.1   0.0   168   186   101   119    80   155 0.72 -
mgm4747905.NODE_24_length_5861_cov_1363.481812_767_3493_+     -            903 CDD0006_no_cons      -            188   3.8e-07   30.2   0.0   2   3   1.3e-09   1.3e-06   28.4   0.0   100   182   199   279   189   284 0.75 -
mgm4747905.NODE_24_length_5861_cov_1363.481812_767_3493_+     -            903 CDD0006_no_cons      -            188   3.8e-07   30.2   0.0   3   3         7   7.3e+03   -3.4   0.0    20    43   627   650   626   656 0.81 -
mgm4747910.NODE_10003_length_12168_cov_495.295380_7360_9103_+ -            577 CDD0006_no_cons      -            188   3.2e-06   27.2   0.0   1   1   1.9e-08     2e-05   24.6   0.0    10   164    11   168     3   178 0.72 -
mgm4747910.NODE_60_length_1921_cov_1435.614746_1365_1996_+    -            209 CDD0006_no_cons      -            188     9e-06   25.7   0.3   1   2     3e-06    0.0031   17.4   0.2    13    46     4    37     2    46 0.89 -
mgm4747910.NODE_60_length_1921_cov_1435.614746_1365_1996_+    -            209 CDD0006_no_cons      -            188     9e-06   25.7   0.3   2   2    0.0099        10    5.9   0.0   142   186    56    99    51   100 0.84 -
mgm4747906.NODE_941_length_5679_cov_103.831833_44_5754_-      -           1892 CDD0006_no_cons      -            188   1.2e-05   25.3   0.0   1   1   4.1e-08   4.3e-05   23.5   0.0   101   157   192   248   181   271 0.78 -
mgm4747906.NODE_43799_length_1866_cov_24.910503_957_1511_+    -            182 CDD0006_no_cons      -            188   1.9e-05   24.6   0.0   1   1   3.1e-08   3.2e-05   23.9   0.0    12   175    16   178     5   181 0.83 -
mgm4747904.NODE_4886_length_551_cov_3248.388428_1_627_+       -            206 CDD0006_no_cons      -            188   5.5e-05   23.1   0.0   1   1   7.5e-08   7.9e-05   22.6   0.0   127   157    16    46     2    71 0.82 -
mgm4747904.NODE_28663_length_530_cov_31.892452_359_606_+      -             81 CDD0006_no_cons      -            188   0.00028   20.8   0.0   1   1   4.5e-07   0.00047   20.1   0.0     4    34    44    74    41    79 0.91 -
mgm4747911.NODE_491_length_64118_cov_78.633270_47815_49326_-  -            500 CDD0006_no_cons      -            188    0.0017   18.3   0.1   1   2   4.7e-06    0.0049   16.8   0.0    29   175    11   152     4   159 0.81 -
mgm4747911.NODE_491_length_64118_cov_78.633270_47815_49326_-  -            500 CDD0006_no_cons      -            188    0.0017   18.3   0.1   2   2       5.8   6.1e+03   -3.1   0.1    32    56   191   216   184   218 0.66 -
mgm4747911.NODE_13788_length_429_cov_12.857809_1_505_-        -            168 CDD0006_no_cons      -            188     0.022   14.6   0.0   1   1   2.5e-05     0.026   14.4   0.0   126   185    76   133    35   136 0.86 -
mgm4747910.NODE_67_length_5824_cov_805.653992_1_1786_+        -            592 CDD0006_no_cons      -            188     0.033   14.1   0.2   1   2    0.0019         2    8.3   0.1    13    48    86   121    79   130 0.90 -
mgm4747910.NODE_67_length_5824_cov_805.653992_1_1786_+        -            592 CDD0006_no_cons      -            188     0.033   14.1   0.2   2   2      0.06        62    3.4   0.0   144   187   152   194   148   195 0.80 -
mgm4747910.NODE_3387_length_9531_cov_812.860657_3769_6369_+   -            859 CDD0006_no_cons      -            188      0.14   12.0   0.1   1   1   0.00036      0.38   10.6   0.1    14    46     1    33     1    39 0.93 -
mgm4747904.NODE_963_length_7102_cov_700.487305_3774_6308_+    -            839 CDD0006_no_cons      -            188      0.22   11.4   0.0   1   1   0.00059      0.62    9.9   0.0    15    83    71   136    67   223 0.68 -
mgm4747906.NODE_1427_length_1697_cov_79.984093_1_1776_+       -            590 CDD0007_no_cons      -            142   6.3e-19   69.0   0.0   1   1   4.4e-21     1e-18   68.3   0.0     5   141   360   491   356   492 0.93 -
mgm4747906.NODE_17115_length_1822_cov_103.716248_1_1768_+     -            588 CDD0007_no_cons      -            142   4.1e-18   66.3   0.0   1   2       9.6   2.2e+03   -0.9   0.1     5    20    82    97    37   162 0.69 -
mgm4747906.NODE_17115_length_1822_cov_103.716248_1_1768_+     -            588 CDD0007_no_cons      -            142   4.1e-18   66.3   0.0   2   2   1.1e-19   2.5e-17   63.8   0.0     1   137   423   557   423   560 0.86 -
mgm4747906.NODE_20453_length_1784_cov_1047.124390_1194_1863_- -            222 CDD0007_no_cons      -            142   9.7e-18   65.1   0.0   1   1   5.8e-20   1.3e-17   64.7   0.0     1   140    67   208    67   210 0.89 -
mgm4747911.NODE_30631_length_1099_cov_92.040039_1_1174_-      -            389 CDD0007_no_cons      -            142     3e-17   63.5   0.0   1   1   2.3e-19   5.2e-17   62.7   0.0     1   139   250   383   250   385 0.92 -
mgm4747906.NODE_26175_length_636_cov_35.455975_1_716_-        -            237 CDD0007_no_cons      -            142   3.2e-17   63.4   0.0   1   1   2.2e-19   4.9e-17   62.8   0.0     2   138    75   203    74   204 0.91 -
mgm4747911.NODE_252_length_4156_cov_32.281521_34_1884_+       -            613 CDD0007_no_cons      -            142   5.5e-17   62.7   0.3   1   1   5.7e-19   1.3e-16   61.5   0.0     1   140   458   599   458   601 0.89 -
mgm4747909.NODE_241_length_5324_cov_193.885986_1_1699_+       -            564 CDD0007_no_cons      -            142   5.7e-17   62.6   0.0   1   1   4.9e-19   1.1e-16   61.7   0.0     1   140   409   550   409   552 0.89 -
mgm4747906.NODE_42806_length_500_cov_30.559999_1_580_+        -            191 CDD0007_no_cons      -            142   7.9e-17   62.2   0.0   1   1   4.9e-19   1.1e-16   61.7   0.0     1   137    14   148    14   151 0.80 -
mgm4747904.NODE_30170_length_829_cov_178.507843_1_385_+       -            127 CDD0007_no_cons      -            142   8.4e-16   58.8   0.0   1   1   4.2e-18   9.5e-16   58.7   0.0    48   140    22   113     3   115 0.88 -
mgm4747906.NODE_61483_length_2397_cov_39.165623_179_2475_-    -            761 CDD0007_no_cons      -            142   1.1e-15   58.5   0.0   1   1     9e-18   2.1e-15   57.6   0.0     1   137   186   321   186   324 0.77 -
mgm4747911.NODE_15304_length_590_cov_12.916949_1_666_+        -            221 CDD0007_no_cons      -            142   1.4e-15   58.1   0.1   1   1   1.8e-17     4e-15   56.6   0.0     1   137    74   208    74   211 0.80 -
mgm4747904.NODE_20819_length_786_cov_117.628502_1_862_-       -            286 CDD0007_no_cons      -            142   1.9e-15   57.7   0.0   1   1   1.3e-17     3e-15   57.0   0.0     3   139    55   186    53   188 0.83 -
mgm4747906.NODE_6008_length_801_cov_61.124844_1_881_+         -            293 CDD0007_no_cons      -            142   1.9e-15   57.6   0.0   1   1   1.4e-17   3.2e-15   57.0   0.0     3   139    59   190    57   192 0.83 -
mgm4747904.NODE_55001_length_259_cov_5.714286_1_335_+         -            110 CDD0007_no_cons      -            142   3.7e-15   56.7   0.0   1   1   2.5e-17   5.8e-15   56.1   0.0    53   137     4    85     2    88 0.93 -
mgm4747911.NODE_24266_length_306_cov_13.591503_1_382_+        -            127 CDD0007_no_cons      -            142   3.8e-15   56.7   0.0   1   1     2e-17   4.5e-15   56.5   0.0    16   137    11   125     3   127 0.92 -
mgm4747911.NODE_7777_length_914_cov_16.925602_1_990_+         -            329 CDD0007_no_cons      -            142   5.7e-15   56.1   0.0   1   1   5.1e-17   1.2e-14   55.1   0.0    53   137    10    91     5    94 0.87 -
mgm4747906.NODE_15716_length_642_cov_30.168224_1_722_-        -            239 CDD0007_no_cons      -            142   8.1e-15   55.6   0.0   1   1   1.2e-16   2.6e-14   54.0   0.0    15   137     5   120     2   123 0.83 -
mgm4747906.NODE_83854_length_272_cov_27.488970_1_352_+        -            116 CDD0007_no_cons      -            142   1.8e-14   54.5   0.0   1   1   8.6e-17     2e-14   54.4   0.0    52   139    27   110     8   113 0.91 -
mgm4747911.NODE_15867_length_572_cov_9.823426_1_648_+         -            215 CDD0007_no_cons      -            142   4.5e-14   53.2   0.0   1   1   2.9e-16   6.6e-14   52.7   0.0    15   139     8   124     3   127 0.91 -
mgm4747906.NODE_5481_length_264_cov_10.446970_1_344_-         -            112 CDD0007_no_cons      -            142   4.6e-14   53.2   0.0   1   1   2.7e-16   6.2e-14   52.8   0.0    81   137     7    60     2    63 0.93 -
mgm4747906.NODE_7837_length_1203_cov_128.161270_33_1282_-     -            414 CDD0007_no_cons      -            142     6e-14   52.8   0.0   1   1   7.3e-16   1.7e-13   51.4   0.0     1   137   250   384   250   387 0.84 -
mgm4747906.NODE_64119_length_242_cov_12.466942_1_322_+        -            106 CDD0007_no_cons      -            142   8.6e-14   52.3   0.0   1   1     4e-16     9e-14   52.2   0.0    29   133     9   105     1   106 0.83 -
mgm4747911.NODE_27240_length_247_cov_7.388664_1_323_-         -            106 CDD0007_no_cons      -            142   9.5e-14   52.2   0.0   1   1   4.6e-16   1.1e-13   52.0   0.0    47   137    16   104     3   106 0.80 -
