OLHK01000523.1,Plasmid,10478,+,14.41,Mob_Pre DUF3987 CbiA RPA N6_N4_Mtase N6_N4_Mtase N6_N4_Mtase
OLHK01000624.1,Plasmid,9257,+,10.24,Rep_3 CbiA DDE_Tnp_1 PemK_toxin
OLHK01001075.1,Plasmid,6408,+,9.87,MobA_MobL BrnT_toxin HTH_36 BrnA_antitoxin RPA
OLHK01003191.1,Plasmid,3104,+,16.50,Replicase PriCT_1 MobC Relaxase
OLHK01003770.1,Plasmid,2740,+,19.93,Rep_3 MobC HTH_38 HTH_7 Rep_3
OLHK01003898.1,Plasmid,2675,+,4.43,Mob_Pre GntR
OLHK01003926.1,Uncertain - plasmid or chromosomal,2659,+,0.78,MCPsignal HAMP 4HB_MCP_1
OLHK01004699.1,Uncertain - viral or bacterial,2323,+,--
OLHK01005730.1,Uncertain - plasmid or chromosomal,2001,+,2.88,DEDD_Tnp_IS110 Transposase_20
OLHK01006131.1,Uncertain - viral or bacterial,1900,+,2.62,Phage_CRI Phage_X
OLHK01006322.1,Uncertain - plasmid or chromosomal,1856,+,-0.74,EAL CZB
OLHK01006941.1,Uncertain - plasmid or chromosomal,1722,+,2.88,DEDD_Tnp_IS110 Transposase_20
OLHK01007115.1,Uncertain - viral or bacterial,1687,+,0.69,Phage_integrase
OLHK01007189.1,Uncertain - plasmid or chromosomal,1674,+,2.88,Transposase_20 DEDD_Tnp_IS110
OLHK01007447.1,Uncertain - viral or bacterial,1624,+,1.96,Rep_trans Rep_trans
OLHK01009644.1,Uncertain - viral or bacterial,1319,+,--
OLHK01011838.1,Uncertain - viral or bacterial,1116,+,--
OLHK01014554.1,Uncertain - viral or bacterial,937,+,--
OLHK01018169.1,Uncertain - viral or bacterial,773,+,-0.52,RHH_1 ParE_toxin
OLHK01024481.1,Uncertain - viral or bacterial,586,+,--
OLHK01025708.1,Uncertain - viral or bacterial,559,+,--
OLHK01026899.1,Uncertain - viral or bacterial,518,+,--
