#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
mgm4445845.FO0DNDO03GHR16_394_517_- -             39 CDD0001_no_cons      -            275   9.2e-05   24.1   0.0   1   1   3.7e-09   9.7e-05   24.0   0.0   245   274     5    34     2    35 0.94 -
mgm4445845.FO0DNDO03FZI9F_1_436_+   -            143 CDD0001_no_cons      -            275    0.0062   18.1   0.1   1   1   2.9e-07    0.0078   17.8   0.1   153   216    24    91    18   114 0.76 -
mgm4445845.FO0DNDO03G17OL_1_390_+   -            127 CDD0001_no_cons      -            275     0.027   16.0   0.3   1   1   1.1e-06      0.03   15.8   0.3    83   144    25    84    19   112 0.74 -
mgm4445845.FO0DNDO03G9UQ4_1_385_- -            128 CDD0002_no_cons      -            541      0.66   10.5   0.0   1   1   9.1e-06      0.72   10.3   0.0   115   170    50   105    29   117 0.82 -
mgm4445845.FO0DNDO03GLJAG_1_229_- -             75 CDD0004_no_cons      -            618     0.072   13.3   0.0   1   1   2.9e-06     0.077   13.2   0.0   508   560    10    68     2    73 0.87 -
mgm4445845.FO0DNDO03F7NVC_1_486_+ -            161 CDD0004_no_cons      -            618      0.38   11.0   0.0   1   1   1.6e-05      0.43   10.8   0.0   399   451    79   128    47   143 0.79 -
mgm4445845.FO0DNDO03FRICU_1_324_- -            107 CDD0004_no_cons      -            618      0.42   10.8   0.0   1   1     2e-05      0.52   10.5   0.0   202   235    70   103    58   106 0.90 -
mgm4445845.FO0DNDO03GTRO2_1_369_+ -            122 CDD0007_no_cons      -            142   1.7e-09   40.3   0.0   1   1   5.1e-14     2e-09   40.0   0.0    20   121     1   102     1   105 0.91 -
mgm4445845.FO0DNDO03GVF33_1_459_- -            152 CDD0007_no_cons      -            142      0.62   12.5   0.0   1   1   2.4e-05      0.94   11.9   0.0    69   120    83   134    78   140 0.83 -
mgm4445845.FO0DNDO03GFSZM_1_386_- -            127 CDD0008_no_cons      -             91      0.55   12.6   0.2   1   1     1e-05      0.83   12.0   0.2    13    70     7    67     6    83 0.86 -
mgm4445845.FO0DNDO03GPQPB_1_490_- -            161 CDD0009_no_cons      -            117     0.071   15.1   0.0   1   1   2.8e-06      0.11   14.5   0.0    41   112    13    82     6    87 0.87 -
mgm4445845.FO0DNDO03FMAM1_1_195_- -             64 CDD0009_no_cons      -            117       0.5   12.4   0.0   1   1   1.3e-05      0.52   12.3   0.0    40    72    17    51     6    60 0.85 -
mgm4445845.FO0DNDO03F8HKV_1_384_- -            127 CDD0010_no_cons      -            384   1.1e-32  115.6   0.4   1   1   2.9e-36   1.2e-32  115.5   0.4   134   250     1   112     1   125 0.92 -
mgm4445845.FO0DNDO03G9VF1_1_495_- -            163 CDD0010_no_cons      -            384   5.7e-19   70.5   1.0   1   1   1.7e-22   6.9e-19   70.2   1.0   127   257     6   138     3   149 0.92 -
mgm4445845.FO0DNDO03GO9PW_1_270_- -             89 CDD0010_no_cons      -            384   7.5e-13   50.3   0.1   1   1     2e-16   8.4e-13   50.2   0.1   152   236     5    88     3    89 0.96 -
mgm4445845.FO0DNDO03G6F27_1_435_- -            144 CDD0010_no_cons      -            384   4.1e-11   44.6   0.4   1   1     1e-14   4.4e-11   44.5   0.4   152   262    35   141     5   144 0.79 -
mgm4445845.FO0DNDO03G5YOJ_1_371_+ -            122 CDD0010_no_cons      -            384   6.6e-11   43.9   0.5   1   1   1.7e-14     7e-11   43.8   0.5   157   272     3   115     1   122 0.85 -
mgm4445845.FO0DNDO03FZ23Z_1_399_+ -            132 CDD0010_no_cons      -            384   0.00013   23.2   0.3   1   1   3.9e-08   0.00016   22.9   0.3   330   377     1    48     1    53 0.93 -
