OJGE01010378.1,NTP_transferase
OJGE01015721.1,ubiquitin
OJGE01001847.1,AdoHcyase AdoHcyase_NAD AdoHcyase
OJGE01010978.1,Ribosomal_L16
OJGE01014590.1,Amidohydro_1
OJGE01000477.1,F5_F8_type_C F5_F8_type_C F5_F8_type_C F5_F8_type_C
OJGE01008769.1,Arg_repressor_C Arg_repressor
OJGE01000052.1,Phage_F Phage_F Phage_GPA
OJGE01014156.1,SWIB
OJGE01014474.1,HTH_6
OJGE01011519.1,Bac_DNA_binding
OJGE01010803.1,T2SSG N_methyl
