OJFL01029859.1,PDDEXK_3
OJFL01026286.1,N_methyl N_methyl
OJFL01019249.1,Ank_5 Ank
OJFL01002405.1,zf-CCHC
OJFL01003605.1,Relaxase MobC Replicase PriCT_1 HTH_23
OJFL01003018.1,DUF5011 DUF5011 DUF5011
OJFL01006159.1,Hpt
OJFL01013792.1,RHS_repeat
OJFL01002314.1,rve
OJFL01008825.1,Rep_1
OJFL01036627.1,DUF559
