OLID01041402.1,GIY-YIG
OLID01008146.1,Rep_1
OLID01000867.1,PhdYeFM_antitox ParE_toxin VirC1 Resolvase Replic_Relax T4SS-DNA_transf RepA_C Phage_int_SAM_2 Integrase_1 Multi_Drug_Res
OLID01004149.1,dTDP_sugar_isom NTP_transferase GDP_Man_Dehyd dTDP_sugar_isom
OLID01036931.1,DctM
OLID01039752.1,DUF4158
OLID01039142.1,ACR_tran
OLID01016695.1,MqsA_antitoxin RelE
OLID01024078.1,ParE_toxin
OLID01032809.1,TPR_12
OLID01016023.1,HSP20
