#                                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
mgm4594281.M02542:9:000000000-A7URB:1:1114:12643:10749.2_1_219_- -             72 CDD0001_no_cons      -            275       1.6   13.4   0.0   1   1   9.9e-06       1.9   13.2   0.0    28    65    22    61    16    64 0.87 -
mgm4594281.M02542:9:000000000-A7URB:1:2117:14154:16917.1_1_300_- -             98 CDD0001_no_cons      -            275       4.1   12.1   0.0   1   1   2.4e-05       4.6   11.9   0.0    27    65    57    97    45    98 0.87 -
mgm4594281.M02542:9:000000000-A7URB:1:1109:21837:11109.1_1_301_+ -             98 CDD0001_no_cons      -            275       6.4   11.4   0.0   1   1   3.6e-05         7   11.3   0.0   187   243    13    70     3    87 0.82 -
mgm4594281.M02542:9:000000000-A7URB:1:2107:13898:12665_1_228_-   -             75 CDD0001_no_cons      -            275       6.7   11.4   0.1   1   1   4.2e-05       8.2   11.1   0.1    62    97     4    39     2    43 0.92 -
mgm4594281.M02542:9:000000000-A7URB:1:1106:5430:19419.1_1_301_+  -             99 CDD0002_no_cons      -            541      0.53   14.0   0.4   1   1   3.2e-06      0.61   13.8   0.4   103   174    22    95    11    97 0.89 -
mgm4594281.M02542:9:000000000-A7URB:1:2119:4289:11520.1_1_299_-  -             98 CDD0002_no_cons      -            541       1.4   12.7   0.0   1   1   8.2e-06       1.6   12.5   0.0   465   526    34    96    18    97 0.80 -
mgm4594281.M02542:9:000000000-A7URB:1:2114:18802:3915.1_1_300_+  -             98 CDD0002_no_cons      -            541         4   11.1   0.0   1   1   2.1e-05       4.1   11.1   0.0   434   484    15    69     4    89 0.80 -
mgm4594281.M02542:9:000000000-A7URB:1:1107:10168:21806.1_1_296_- -             97 CDD0002_no_cons      -            541       5.7   10.6   0.0   1   1   3.5e-05       6.8   10.4   0.0   214   280     4    72     2    81 0.81 -
mgm4594281.M02542:9:000000000-A7URB:1:1112:12536:24200.1_1_300_+  -             99 CDD0003_no_cons      -            320     0.013   20.1   0.0   1   2   0.00037        29    9.1   0.0   100   127    10    37     3    54 0.88 -
mgm4594281.M02542:9:000000000-A7URB:1:1112:12536:24200.1_1_300_+  -             99 CDD0003_no_cons      -            320     0.013   20.1   0.0   2   2   0.00022        17    9.8   0.0    99   127    57    85    38    90 0.84 -
mgm4594281.M02542:9:000000000-A7URB:1:1103:9945:11185_1_324_-     -            107 CDD0003_no_cons      -            320     0.051   18.1   0.0   1   2   0.00041        32    8.9   0.0    99   127    30    58    13    61 0.85 -
mgm4594281.M02542:9:000000000-A7URB:1:1103:9945:11185_1_324_-     -            107 CDD0003_no_cons      -            320     0.051   18.1   0.0   2   2     0.001        79    7.6   0.0    87   122    65   101    59   105 0.76 -
mgm4594281.M02542:9:000000000-A7URB:1:2110:16251:10832.1_1_267_+  -             88 CDD0003_no_cons      -            320       2.3   12.7   0.0   1   2      0.03   2.3e+03    2.8   0.0   100   127     3    30     2    47 0.87 -
mgm4594281.M02542:9:000000000-A7URB:1:2110:16251:10832.1_1_267_+  -             88 CDD0003_no_cons      -            320       2.3   12.7   0.0   2   2   0.00054        42    8.5   0.0    99   127    50    78    31    81 0.83 -
mgm4594281.M02542:9:000000000-A7URB:1:2107:16679:4812.1_1_230_+   -             75 CDD0003_no_cons      -            320       2.3   12.6   0.0   1   2      0.13     1e+04    0.6   0.0   106   127     1    22     1    25 0.86 -
mgm4594281.M02542:9:000000000-A7URB:1:2107:16679:4812.1_1_230_+   -             75 CDD0003_no_cons      -            320       2.3   12.6   0.0   2   2   0.00017        13   10.2   0.0    87   126    29    69    23    72 0.76 -
mgm4594281.M02542:9:000000000-A7URB:1:1111:4173:6203.2_1_274_-    -             90 CDD0003_no_cons      -            320       3.1   12.2   0.0   1   1     4e-05       3.1   12.2   0.0   173   204    46    77     5    79 0.80 -
mgm4594281.M02542:9:000000000-A7URB:1:2110:5757:11507.1_1_297_-   -             98 CDD0003_no_cons      -            320       3.5   12.1   0.1   1   1   5.9e-05       4.5   11.7   0.1    63   114    44    95    36    97 0.92 -
mgm4594281.M02542:9:000000000-A7URB:1:1119:18322:10549_1_369_-    -            122 CDD0003_no_cons      -            320       5.5   11.4   0.0   1   3       1.9   1.5e+05   -3.1   0.0   105   122     3    20     1    25 0.69 -
mgm4594281.M02542:9:000000000-A7URB:1:1119:18322:10549_1_369_-    -            122 CDD0003_no_cons      -            320       5.5   11.4   0.0   2   3    0.0014   1.1e+02    7.2   0.0    99   127    45    73    32    91 0.86 -
mgm4594281.M02542:9:000000000-A7URB:1:1119:18322:10549_1_369_-    -            122 CDD0003_no_cons      -            320       5.5   11.4   0.0   3   3     0.039     3e+03    2.4   0.0    99   122    93   116    74   121 0.73 -
mgm4594281.M02542:9:000000000-A7URB:1:2118:22811:22852.1_74_280_+ -             67 CDD0003_no_cons      -            320       6.4   11.2   0.1   1   1   8.3e-05       6.4   11.2   0.1    78   120     2    44     1    57 0.82 -
mgm4594281.M02542:9:000000000-A7URB:1:1105:20841:5692.1_1_301_+   -            100 CDD0003_no_cons      -            320       7.5   11.0   0.0   1   2     0.029   2.3e+03    2.8   0.0    99   125    20    46     3    51 0.80 -
mgm4594281.M02542:9:000000000-A7URB:1:1105:20841:5692.1_1_301_+   -            100 CDD0003_no_cons      -            320       7.5   11.0   0.0   2   2    0.0019   1.5e+02    6.7   0.0    99   122    68    91    46    97 0.81 -
mgm4594281.M02542:9:000000000-A7URB:1:2115:8258:2268.1_1_238_+    -             78 CDD0003_no_cons      -            320       8.1   10.9   0.0   1   1   0.00012         9   10.7   0.0    73   121    14    63     8    74 0.89 -
mgm4594281.M02542:9:000000000-A7URB:1:2112:19614:12118.1_1_272_- -             89 CDD0004_no_cons      -            618     0.068   16.7   0.0   1   1   5.1e-07     0.078   16.5   0.0   508   569    19    82     9    87 0.85 -
mgm4594281.M02542:9:000000000-A7URB:1:2101:6110:15052.1_1_300_+  -             97 CDD0004_no_cons      -            618       1.1   12.7   0.0   1   1   7.2e-06       1.1   12.7   0.0   572   609    29    66    13    85 0.88 -
mgm4594281.M02542:9:000000000-A7URB:1:2117:23584:12919.1_1_300_- -             99 CDD0004_no_cons      -            618       1.5   12.2   0.4   1   1     1e-05       1.6   12.1   0.4    67   125    16    80     2    93 0.77 -
mgm4594281.M02542:9:000000000-A7URB:1:2105:9278:8565_1_446_+     -            147 CDD0004_no_cons      -            618       4.9   10.6   3.2   1   1   3.9e-05         6   10.2   3.2    39   101    13    77     7    85 0.85 -
mgm4594281.M02542:9:000000000-A7URB:1:2110:11578:21283.2_1_301_+ -            100 CDD0004_no_cons      -            618       5.8   10.3   3.8   1   1   4.3e-05       6.6   10.1   3.8    39   101    26    90    19    99 0.85 -
mgm4594281.M02542:9:000000000-A7URB:1:2115:8520:4769_1_125_-       -             40 CDD0005_no_cons      -            114     0.071   18.6   0.0   1   1   9.2e-07     0.071   18.6   0.0     6    36     9    39     4    40 0.89 -
mgm4594281.M02542:9:000000000-A7URB:1:1117:10240:4131.2_1_161_+    -             52 CDD0005_no_cons      -            114       2.3   13.8   0.1   1   1   3.2e-05       2.5   13.7   0.1    64   112     5    51     2    52 0.90 -
mgm4594281.M02542:9:000000000-A7URB:1:1115:17684:12238.2_1_238_+   -             79 CDD0005_no_cons      -            114       2.8   13.5   0.5   1   1   4.3e-05       3.3   13.3   0.5    66   108    32    74    25    79 0.87 -
mgm4594281.M02542:9:000000000-A7URB:1:1113:17716:24969.1_159_301_- -             46 CDD0005_no_cons      -            114       3.6   13.1   0.0   1   1   4.7e-05       3.6   13.1   0.0    49    70     3    24     1    41 0.77 -
mgm4594281.M02542:9:000000000-A7URB:1:2107:18198:6862.1_1_301_-    -             99 CDD0005_no_cons      -            114       3.6   13.1   0.0   1   1   5.3e-05       4.1   13.0   0.0    11    65    32    87    20    97 0.88 -
mgm4594281.M02542:9:000000000-A7URB:1:2104:17790:11882.1_1_275_+   -             90 CDD0005_no_cons      -            114       4.6   12.8   0.1   1   1   0.00011       8.6   11.9   0.1    55    89    42    75    23    89 0.73 -
mgm4594281.M02542:9:000000000-A7URB:1:2117:18134:19216_1_176_-     -             57 CDD0005_no_cons      -            114       6.8   12.3   0.0   1   1    0.0001       8.1   12.0   0.0    28    64     6    43     2    46 0.90 -
mgm4594281.M02542:9:000000000-A7URB:1:2102:20349:5055_1_529_+      -            176 CDD0005_no_cons      -            114       7.2   12.2   0.0   1   1   0.00012       9.3   11.8   0.0    51   107    14    76     5    83 0.72 -
mgm4594281.M02542:9:000000000-A7URB:1:2101:6343:21519_1_257_-      -             85 CDD0005_no_cons      -            114       7.8   12.1   0.2   1   2     0.031   2.4e+03    4.1   0.0    18    36    21    39    10    49 0.85 -
mgm4594281.M02542:9:000000000-A7URB:1:2101:6343:21519_1_257_-      -             85 CDD0005_no_cons      -            114       7.8   12.1   0.2   2   2    0.0061   4.7e+02    6.3   0.1    15    36    61    82    51    85 0.85 -
