OLHZ01008124.1,Uncertain - viral or bacterial,1624,+,0.98,Rep_trans
OLHZ01010365.1,Uncertain - viral or bacterial,1341,+,--
OLHZ01012947.1,Uncertain - viral or bacterial,1129,+,--
OLHZ01013922.1,Uncertain - plasmid or chromosomal,1065,+,-1.02,Flagellin_N Flagellin_C
OLHZ01016446.1,Uncertain - viral or bacterial,937,+,--
OLHZ01016725.1,Uncertain - viral or bacterial,925,+,--
OLHZ01017369.1,Uncertain - viral or bacterial,898,+,--
OLHZ01017591.1,Uncertain - viral or bacterial,889,+,--
OLHZ01022155.1,Uncertain - viral or bacterial,742,+,--
OLHZ01022261.1,Uncertain - viral or bacterial,739,+,--
OLHZ01024013.1,Uncertain - viral or bacterial,696,+,--
OLHZ01025220.1,Uncertain - viral or bacterial,670,+,--
OLHZ01028554.1,Uncertain - viral or bacterial,610,+,--
OLHZ01029557.1,Uncertain - viral or bacterial,594,+,--
OLHZ01032919.1,Uncertain - viral or bacterial,547,+,--
OLHZ01032969.1,Uncertain - viral or bacterial,547,+,--
OLHZ01033879.1,Uncertain - viral or bacterial,535,+,--
OLHZ01034029.1,Uncertain - viral or bacterial,532,+,--
OLHZ01034131.1,Uncertain - viral or bacterial,531,+,--
OLHZ01034728.1,Uncertain - viral or bacterial,523,+,--
OLHZ01035145.1,Uncertain - viral or bacterial,518,+,--
