# GbID,Accession,TaxID,Organism,SpeciesTaxID,SpeciesName,Size
14176838,GCA_008770225.1,749906,gut metagenome (metagenomes),749906,gut metagenome,101178687
14176868,GCA_008770255.1,749906,gut metagenome (metagenomes),749906,gut metagenome,97398295
14168208,GCA_008761695.1,1076179,bioreactor metagenome (metagenomes),1076179,bioreactor metagenome,220806418
14129768,GCA_902498965.1,1561972,seawater metagenome (metagenomes),1561972,seawater metagenome,1605493
14110838,GCA_902499405.1,1561972,seawater metagenome (metagenomes),1561972,seawater metagenome,1605493
14025638,GCA_008654335.1,749907,sediment metagenome (metagenomes),749907,sediment metagenome,123831629
14025618,GCA_008654315.1,749907,sediment metagenome (metagenomes),749907,sediment metagenome,97254128
14025688,GCA_008654355.1,749907,sediment metagenome (metagenomes),749907,sediment metagenome,45945730
14025698,GCA_008654385.1,749907,sediment metagenome (metagenomes),749907,sediment metagenome,26778793
14025678,GCA_008654375.1,749907,sediment metagenome (metagenomes),749907,sediment metagenome,11305584
14010418,GCA_008639465.1,749906,gut metagenome (metagenomes),749906,gut metagenome,40858351
14010398,GCA_008639445.1,749906,gut metagenome (metagenomes),749906,gut metagenome,15345105
14007158,GCA_008636205.1,408172,marine metagenome (metagenomes),408172,marine metagenome,433069084
14006118,GCA_008636065.1,408172,marine metagenome (metagenomes),408172,marine metagenome,2206818362
14005218,GCA_008635275.1,433724,termite gut metagenome (metagenomes),433724,termite gut metagenome,39716290
14003358,GCA_008633385.1,1647806,lake water metagenome (metagenomes),1647806,lake water metagenome,139480963
14003338,GCA_008633355.1,1076179,bioreactor metagenome (metagenomes),1076179,bioreactor metagenome,48858656
14003328,GCA_008633345.1,1076179,bioreactor metagenome (metagenomes),1076179,bioreactor metagenome,37008960
14003318,GCA_008633325.1,1076179,bioreactor metagenome (metagenomes),1076179,bioreactor metagenome,47068949
14003258,GCA_008633285.1,1076179,bioreactor metagenome (metagenomes),1076179,bioreactor metagenome,50450663
14003228,GCA_008633255.1,1076179,bioreactor metagenome (metagenomes),1076179,bioreactor metagenome,140127996
14003218,GCA_008633205.1,1076179,bioreactor metagenome (metagenomes),1076179,bioreactor metagenome,91602433
14003198,GCA_008633225.1,1076179,bioreactor metagenome (metagenomes),1076179,bioreactor metagenome,79682279
14003178,GCA_008633185.1,1076179,bioreactor metagenome (metagenomes),1076179,bioreactor metagenome,89851657
14003098,GCA_008633095.1,1076179,bioreactor metagenome (metagenomes),1076179,bioreactor metagenome,55371590
14003088,GCA_008633085.1,1076179,bioreactor metagenome (metagenomes),1076179,bioreactor metagenome,35168104
14003078,GCA_008633055.1,1076179,bioreactor metagenome (metagenomes),1076179,bioreactor metagenome,52095048
14003058,GCA_008633065.1,1076179,bioreactor metagenome (metagenomes),1076179,bioreactor metagenome,36121858
13698788,GCA_008362845.1,433727,hot springs metagenome (metagenomes),433727,hot springs metagenome,210093746
13356578,GCA_008081735.1,408172,marine metagenome (metagenomes),408172,marine metagenome,117846866
13114058,GCA_900492095.1,256318,metagenome (metagenomes),256318,metagenome,5929205
13114038,GCA_900492085.1,256318,metagenome (metagenomes),256318,metagenome,2739318
13114018,GCA_900492075.1,256318,metagenome (metagenomes),256318,metagenome,4264353
13113998,GCA_900492065.1,256318,metagenome (metagenomes),256318,metagenome,6545070
13113978,GCA_900492055.1,256318,metagenome (metagenomes),256318,metagenome,6020047
13113958,GCA_900492035.1,256318,metagenome (metagenomes),256318,metagenome,4531074
13113938,GCA_900492025.1,256318,metagenome (metagenomes),256318,metagenome,2795863
13113918,GCA_900492045.1,256318,metagenome (metagenomes),256318,metagenome,4140833
13113898,GCA_900492015.1,256318,metagenome (metagenomes),256318,metagenome,5335416
13113878,GCA_900492005.1,256318,metagenome (metagenomes),256318,metagenome,4447407
13113858,GCA_900491995.1,256318,metagenome (metagenomes),256318,metagenome,1707495
13113838,GCA_900491985.1,256318,metagenome (metagenomes),256318,metagenome,3660466
12700288,GCA_900609035.2,256318,metagenome (metagenomes),256318,metagenome,3288346
12571218,GCA_004028595.2,1070528,viral metagenome (metagenomes),1070528,viral metagenome,14065705
12571198,GCA_004028585.2,1070528,viral metagenome (metagenomes),1070528,viral metagenome,6874040
11908708,GCA_006844875.1,1583376,cold seep metagenome (metagenomes),1583376,cold seep metagenome,231716115
11908688,GCA_006844845.1,1583376,cold seep metagenome (metagenomes),1583376,cold seep metagenome,89794957
11908678,GCA_006844825.1,1583376,cold seep metagenome (metagenomes),1583376,cold seep metagenome,127516020
11908628,GCA_006844795.1,1583376,cold seep metagenome (metagenomes),1583376,cold seep metagenome,8949033
11558818,GCA_006516035.1,408172,marine metagenome (metagenomes),408172,marine metagenome,497205055
