#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
mgm4615179.5602_1_232_+    -             76 CDD0001_no_cons      -            275   5.9e-19   74.6   0.1   1   1   8.5e-24   6.3e-19   74.5   0.1    63   141     1    75     1    76 0.96 -
mgm4624084.5583_1_232_+    -             76 CDD0001_no_cons      -            275   5.9e-19   74.6   0.1   1   1   8.5e-24   6.3e-19   74.5   0.1    63   141     1    75     1    76 0.96 -
mgm4615179.6973_1_264_+    -             87 CDD0001_no_cons      -            275      0.76   15.2   0.2   1   1   1.2e-05      0.87   15.0   0.2   134   179    31    76    17    86 0.82 -
mgm4624084.6947_1_264_+    -             87 CDD0001_no_cons      -            275      0.76   15.2   0.2   1   1   1.2e-05      0.87   15.0   0.2   134   179    31    76    17    86 0.82 -
mgm4615179.206299_1_243_+  -             80 CDD0001_no_cons      -            275       1.3   14.4   0.6   1   1     2e-05       1.5   14.2   0.6    76   123     8    54     4    68 0.84 -
mgm4624084.205431_1_243_+  -             80 CDD0001_no_cons      -            275       1.3   14.4   0.6   1   1     2e-05       1.5   14.2   0.6    76   123     8    54     4    68 0.84 -
mgm4615180.229263_1_274_+  -             90 CDD0001_no_cons      -            275       1.3   14.4   2.7   1   1   1.9e-05       1.4   14.3   2.7    86   145    25    87    13    90 0.88 -
mgm4624085.209331_1_274_+  -             90 CDD0001_no_cons      -            275       1.3   14.4   2.7   1   1   1.9e-05       1.4   14.3   2.7    86   145    25    87    13    90 0.88 -
mgm4615180.201543_11_265_- -             83 CDD0001_no_cons      -            275       1.5   14.2   0.7   1   1   2.2e-05       1.6   14.1   0.7    76   123    11    57     6    71 0.84 -
mgm4624085.185178_11_265_- -             83 CDD0001_no_cons      -            275       1.5   14.2   0.7   1   1   2.2e-05       1.6   14.1   0.7    76   123    11    57     6    71 0.84 -
mgm4615180.111241_1_401_+  -            133 CDD0001_no_cons      -            275       2.9   13.3   0.5   1   1   5.8e-05       4.3   12.7   0.5    76   123    71   117    60   130 0.84 -
mgm4624085.104148_1_401_+  -            133 CDD0001_no_cons      -            275       2.9   13.3   0.5   1   1   5.8e-05       4.3   12.7   0.5    76   123    71   117    60   130 0.84 -
mgm4615178.85414_1_213_+   -             68 CDD0001_no_cons      -            275       4.6   12.6   0.1   1   1   6.2e-05       4.6   12.6   0.1    11    61    12    63     5    68 0.76 -
mgm4624083.83807_1_213_+   -             68 CDD0001_no_cons      -            275       4.6   12.6   0.1   1   1   6.2e-05       4.6   12.6   0.1    11    61    12    63     5    68 0.76 -
mgm4615181.53879_1_393_+   -            128 CDD0001_no_cons      -            275       5.7   12.3   0.2   1   1   8.8e-05       6.5   12.1   0.2   146   218    30   101     7   112 0.76 -
mgm4615180.247653_1_283_-  -             94 CDD0001_no_cons      -            275         8   11.8   0.1   1   1   0.00011         8   11.8   0.1    83   140     3    64     1    85 0.87 -
mgm4624085.226432_1_283_-  -             94 CDD0001_no_cons      -            275         8   11.8   0.1   1   1   0.00011         8   11.8   0.1    83   140     3    64     1    85 0.87 -
mgm4615180.157977_1_347_+ -            113 CDD0002_no_cons      -            541      0.59   14.6   0.4   1   1   5.1e-06       1.1   13.7   0.2   147   193    62   108    52   111 0.89 -
mgm4624085.147780_1_347_+ -            113 CDD0002_no_cons      -            541      0.59   14.6   0.4   1   1   5.1e-06       1.1   13.7   0.2   147   193    62   108    52   111 0.89 -
mgm4615180.46299_1_299_+  -             98 CDD0002_no_cons      -            541       1.4   13.3   0.0   1   1   7.4e-06       1.6   13.2   0.0   171   229    14    72     6    91 0.87 -
mgm4624085.43315_1_299_+  -             98 CDD0002_no_cons      -            541       1.4   13.3   0.0   1   1   7.4e-06       1.6   13.2   0.0   171   229    14    72     6    91 0.87 -
mgm4615178.83933_1_156_+  -             51 CDD0002_no_cons      -            541       8.6   10.7   0.0   1   1   4.5e-05       9.4   10.6   0.0    23    60    10    47     5    50 0.86 -
mgm4624083.82369_1_156_+  -             51 CDD0002_no_cons      -            541       8.6   10.7   0.0   1   1   4.5e-05       9.4   10.6   0.0    23    60    10    47     5    50 0.86 -
mgm4615179.259174_1_296_+  -             97 CDD0003_no_cons      -            320     2e-18   72.7   0.0   1   1   4.9e-23     2e-18   72.7   0.0   183   268     1    91     1    97 0.92 -
mgm4624084.258047_1_296_+  -             97 CDD0003_no_cons      -            320     2e-18   72.7   0.0   1   1   4.9e-23     2e-18   72.7   0.0   183   268     1    91     1    97 0.92 -
mgm4615179.137010_1_367_+  -            121 CDD0003_no_cons      -            320   9.8e-14   57.3   0.5   1   1   2.7e-18   1.1e-13   57.1   0.5    57   154    23   119    17   121 0.93 -
mgm4624084.136446_1_367_+  -            121 CDD0003_no_cons      -            320   9.8e-14   57.3   0.5   1   1   2.7e-18   1.1e-13   57.1   0.5    57   154    23   119    17   121 0.93 -
mgm4615179.225393_1_215_+  -             71 CDD0003_no_cons      -            320     6e-13   54.7   0.0   1   1   1.5e-17   6.2e-13   54.7   0.0   172   232     4    71     1    71 0.90 -
mgm4624084.224433_1_215_+  -             71 CDD0003_no_cons      -            320     6e-13   54.7   0.0   1   1   1.5e-17   6.2e-13   54.7   0.0   172   232     4    71     1    71 0.90 -
mgm4615179.192326_16_207_- -             62 CDD0003_no_cons      -            320   1.4e-10   46.9   0.0   1   1   3.7e-15   1.5e-10   46.8   0.0   260   320     1    60     1    60 0.94 -
mgm4624084.191518_16_207_- -             62 CDD0003_no_cons      -            320   1.4e-10   46.9   0.0   1   1   3.7e-15   1.5e-10   46.8   0.0   260   320     1    60     1    60 0.94 -
mgm4615179.136519_1_302_-  -            100 CDD0003_no_cons      -            320   2.6e-10   46.0   0.0   1   1   7.1e-15     3e-10   45.8   0.0    35   127     3    96     1    99 0.97 -
mgm4624084.135956_1_302_-  -            100 CDD0003_no_cons      -            320   2.6e-10   46.0   0.0   1   1   7.1e-15     3e-10   45.8   0.0    35   127     3    96     1    99 0.97 -
mgm4615179.181343_1_305_-  -            100 CDD0003_no_cons      -            320   1.4e-08   40.4   0.0   1   1   3.5e-13   1.5e-08   40.3   0.0   252   314     1    63     1    69 0.94 -
