OJCH01004384.1,EAL EAL
OJCH01004869.1,GntR FCD
OJCH01006346.1,PNP_UDP_1
OJCH01000224.1,Phage_GPA Phage_F Phage_F
OJCH01001032.1,RepL
OJCH01004766.1,SSF SSF
OJCH01006288.1,ETF_alpha
OJCH01006403.1,ATP-synt ATP-synt
OJCH01005997.1,Biotin_lipoyl_2 Biotin_lipoyl_2
OJCH01005692.1,YidC_periplas
OJCH01000651.1,Terminase_2
OJCH01006108.1,UDPG_MGDP_dh
