BCSF01000003.1;size=1,Virus,187437,+,453.44,Ribonuc_red_lgC Ribonuc_red_lgN ATP-cone TAL_FSA 2OG-FeII_Oxy_5 2OG-FeII_Oxy_3 2OG-FeII_Oxy_5 Trp_halogenase MazG 2OG-FeII_Oxy_3 RecA DNA_pol_B DNA_pol_B_exo1 HSP20 Ribonuc_red_sm 2OG-FeII_Oxy_5 DUF3310 AAA 2OG-FeII_Oxy_3 AAA_5 G6PD_C G6PD_N NAD_binding_2 6PGD 6PGD DUF1825 gp32 Phage_gp53 GPW_gp25 2OG-FeII_Oxy_5 2OG-FeII_Oxy_5 DNA_Packaging T4-gp15_tss T4_neck-protein DUF4815 DUF4815 DUF4815 Photo_RC Redoxin CpeT 2OG-FeII_Oxy_3 AdoMet_dc CTP_transf_like Cupin_4 2OG-FeII_Oxy_3 Cupin_4 2OG-FeII_Oxy_5 ResIII 2OG-FeII_Oxy_5 MethyltransfD12 Phage_clamp_A Translat_reg Carbam_trans_C Carbam_trans_N Peptidase_S77 Gp23 Gp23 Peptidase_S80 Terminase_6 Terminase_6C Copper-bind Phage_T4_gp19 Phage_sheath_1 Phage_sheath_1C YHYH Laminin_G_3 Laminin_G_3 Phage-Gp8 RNaseH_C 5_3_exonuc_N PhoH Thy1 PDDEXK_1 Trans_coact SNase AOX Metallophos 2OG-FeII_Oxy_3 ResIII Helicase_C UvsY Sm_like AAA_23 DUF3110 2OG-FeII_Oxy_5 Photo_RC Glutaredoxin DnaB_C 2OG-FeII_Oxy_5 YHYH T4_gp9_10 VanY Amidase_2 T4_baseplate T4_tail_cap Tn7_Tnp_TnsA_N CP12,Virus,0.719126959992,0.810296631621,"gi|1074043110|gb|KU686210.1| Synechococcus phage S-WAM1 isolate 0810PA09, complete genome"
BCSF01000006.1;size=1,Virus,143397,+,311.66,Cpn10 UDPG_MGDP_dh UDPG_MGDP_dh_N Thy1 MazG Carbam_trans_C Carbam_trans_N NT5C Glyco_transf_8 Radical_SAM SPASM Methyltransf_24 gp45-slide_C PDDEXK_1 Guanylate_cyc CHASE2 CTP_transf_like DUF3310 DnaB_C RecA Phage_sheath_1 Phage_sheath_1C DNA_Packaging Peptidase_S77 AAA Metallophos FecR Amidase_2 Gp23 Gp23 Ribonuc_red_lgC Ribonuc_red_lgC Glutaredoxin Ribonuc_red_lgN T4_gp9_10 GPW_gp25 Terminase_6C Terminase_6 T4-gp15_tss Epimerase dCMP_cyt_deam_1 Translat_reg Phage_clamp_A HSP20 DNA_pol_B DNA_pol_B_exo1 DNA_pol_B_exo2 Glyco_transf_25 Glyco_transf_25 SNase CsgG CsgF WYL_2 gp32 T4_neck-protein Laminin_G_3 Ribonuc_red_sm DUF932 DUF4338 Glutaredoxin UvsY PhoH ResIII Helicase_C Peptidase_M15_3 T4_baseplate Gp5_OB AAA_23 PhyH DUF4815 DUF4815 DUF4815 Phage_gp53 Phage_T4_gp19 Peptidase_S80,Non-significant
BCSF01000020.1;size=1,Virus,67112,+,47.12,zf-CHC2 Toprim_2 Toprim_N Toprim_4 Glucosaminidase DUF3799 Photo_RC RusA Thy1 Sigma70_r2 Terminase_6C Terminase_6 HNH_5 Phage_tail_2 Phage_tail_APC SSB DUF2786 dUTPase DUF4055 DnaB_C Sigma70_r2 Peptidase_C70,Non-significant
BCSF01000023.1;size=1,Virus,64495,+,37.50,Cpn60_TCP1 GTA_holin_3TM Peptidase_S74 Sigma70_r2 Sigma70_r4_2 Sigma70_r4 MazG DUF1064 Peptidase_M15_3 Thymidylat_synt Ribonuc_red_sm Fib_succ_major Cpn10 Toprim_4 DnaB_C DUF3799 ERF Ribonuc_red_lgC Ribonuc_red_lgC Ribonuc_red_lgC Ribonuc_red_lgN Ribonuc_red_lgC Ribonuc_red_lgC,Non-significant
BCSF01000024.1;size=1,Virus,64322,+,47.34,Thymidylat_synt DUF3799 Fib_succ_major GP88 Cpn60_TCP1 Cpn10 MazG DNA_ligase_A_M DNA_ligase_OB_2 KTSC Ribonuc_red_lgC Ribonuc_red_lgC Ribonuc_red_lgC Ribonuc_red_lgN Ribonuc_red_sm Peptidase_M15_3 Toprim_4 ATPase DnaB_C ERF DUF1064 Ribonuc_red_sm,Non-significant
BCSF01000025.1;size=1,Virus,62085,+,28.10,Cpn10 Sigma70_r2 Sigma70_r4_2 Sigma70_r4 Ribonuc_red_sm Ribonuc_red_lgC Ribonuc_red_lgC Ribonuc_red_lgC Ribonuc_red_lgN DUF1064 Laminin_G_3 Laminin_G_3 Bac_DnaA_C Sigma70_r2 Cpn60_TCP1 DUF1738 ERF Peptidase_M15_3 Toprim_4 DnaB_C DUF3799,Non-significant
BCSF01000033.1;size=1,Virus,57810,+,10.18,DNA_pol_A Metallophos PDDEXK_1 Terminase_6C,Non-significant
BCSF01000036.1;size=1,Virus,55971,+,35.04,Peptidase_S74 CsgF CsgG 2OG-FeII_Oxy_3 Phage_lysozyme Guanylate_cyc CHASE2 FecR DUF3799 Mu-like_gpT Terminase_6C Cpn10 SNase DUF669 AAA_24 Prim-Pol DUF3987 PriCT_1 DUF3310,Non-significant
BCSF01000046.1;size=1,Virus,51792,+,40.57,DUF3310 PRA-PH DnaB_C Toprim_2 Toprim_4 Toprim DNA_pol_A DUF1738 2OG-FeII_Oxy_3 HSP20 2OG-FeII_Oxy_3 Ribonuc_red_lgC Hydrolase_2 Thy1 Usg Terminase_6 CBM_4_9 Phage_tail_APC Phage_T7_tail Phage_tail_APC,Non-significant
BCSF01000080.1;size=1,Virus,40816,+,43.89,DUF2612 Baseplate_J bPH_2 Glyco_hydro_108 PG_binding_3 DUF4054 DUF2213 DUF2184 Terminase_3 Terminase_6C DUF1073 ResIII Helicase_C TetR_N DUF2800 Terminase_2 DUF4031 DUF3383,Non-significant
