#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
mgm4779568.GM034OG01DTM0M_1_410_- -            136 CDD0001_no_cons      -            275   1.8e-26   97.2   0.0   1   1   7.8e-31     2e-26   97.1   0.0   157   275     1   118     1   118 0.97 -
mgm4779606.GM034OG02GFIXL_1_374_- -            123 CDD0001_no_cons      -            275   6.6e-07   33.1   0.0   1   1   2.9e-11   7.7e-07   32.9   0.0     8    76    21    95    16   106 0.92 -
mgm4779606.GM034OG02F77VI_1_404_- -            132 CDD0001_no_cons      -            275   0.00014   25.5   0.0   1   1   5.6e-09   0.00015   25.4   0.0   213   273    51   111    22   113 0.87 -
mgm4779606.GM034OG02IU8MR_1_255_+ -             84 CDD0001_no_cons      -            275    0.0016   22.0   0.0   1   1   6.9e-08    0.0018   21.8   0.0   205   273     2    76     1    78 0.79 -
mgm4779606.GM034OG02I4946_1_471_+ -            156 CDD0001_no_cons      -            275     0.016   18.7   0.7   1   1   6.4e-07     0.017   18.6   0.7   126   195    70   143     8   153 0.84 -
mgm4779568.GM034OG01CEE1L_1_517_- -            172 CDD0001_no_cons      -            275     0.025   18.1   0.5   1   1   1.5e-06      0.04   17.4   0.2   127   184   108   167    93   172 0.84 -
mgm4779568.GM034OG01A64XZ_1_511_+ -            169 CDD0001_no_cons      -            275      0.04   17.4   1.1   1   1   1.7e-06     0.045   17.2   1.1   126   195    86   159    16   169 0.82 -
mgm4779606.GM034OG02IWXPW_1_207_- -             68 CDD0001_no_cons      -            275       0.2   15.1   0.0   1   1   8.4e-06      0.22   15.0   0.0   237   272     6    41     1    42 0.87 -
mgm4779568.GM034OG01EE2M7_1_198_+ -             64 CDD0001_no_cons      -            275      0.65   13.4   0.0   1   1   2.6e-05       0.7   13.3   0.0   147   190    15    58     3    63 0.84 -
mgm4779606.GM034OG02FHTHZ_1_489_- -            162 CDD0001_no_cons      -            275       1.2   12.5   0.0   1   1   5.7e-05       1.5   12.2   0.0   124   255    14   138     2   143 0.80 -
mgm4779606.GM034OG02HBFEF_1_493_+ -            161 CDD0001_no_cons      -            275       1.4   12.4   0.1   1   1   7.4e-05       1.9   11.9   0.1   124   166    63   105    48   116 0.83 -
