OJDS01053865.1,SWIB
OJDS01025076.1,Cupin_3 Cupin_3 Cupin_3 EutQ
OJDS01000119.1,rve rve
OJDS01050905.1,eIF2A
OJDS01012865.1,Flagellin_N Flagellin_C Flagellin_C Flagellin_N
OJDS01057791.1,Flagellin_N
OJDS01015412.1,WD40 WD40
OJDS01000148.1,Phage_F Phage_F Phage_GPA
OJDS01008158.1,DUF305
OJDS01037201.1,Mob_synth_C
