OBER01001749.1,Uncertain - viral or bacterial,514,+,--
OBER01001697.1,Uncertain - viral or bacterial,598,+,--
OBER01001686.1,Uncertain - viral or bacterial,640,+,--
OBER01001708.1,Uncertain - plasmid or chromosomal,575,+,2.85,TrbC
OBER01001554.1,Uncertain - viral or bacterial,910,+,--
OBER01001720.1,Uncertain - viral or bacterial,558,+,-1.88,Pro_isomerase
OBER01001739.1,Uncertain - viral or bacterial,532,+,--
OBER01001643.1,Uncertain - viral or bacterial,817,+,--
OBER01001676.1,Uncertain - viral or bacterial,682,+,--
OBER01001684.1,Uncertain - viral or bacterial,643,+,--
OBER01001689.1,Uncertain - viral or bacterial,622,+,--
OBER01001699.1,Uncertain - viral or bacterial,595,+,--
OBER01001731.1,Uncertain - viral or bacterial,550,+,--
OBER01001733.1,Uncertain - viral or bacterial,544,+,--
PYIM01001125.1,Uncertain - viral or bacterial,532,+,--
PYIM01001393.1,Uncertain - viral or bacterial,565,+,--
PYIM01002718.1,Uncertain - viral or bacterial,511,+,1.45,DNA_topoisoIV
PYIM01005264.1,Uncertain - viral or bacterial,658,+,-1.30,N_methyl N_methyl
PYIM01013966.1,Uncertain - viral or bacterial,548,+,--
PYIM01015413.1,Uncertain - viral or bacterial,1095,+,--
PYIM01024091.1,Uncertain - viral or bacterial,575,+,--
PYIM01030451.1,Uncertain - viral or bacterial,503,+,--
PYIM01039833.1,Uncertain - viral or bacterial,555,+,--
PYIM01040777.1,Uncertain - plasmid or chromosomal,1859,+,-0.09,DUF4386 CN_hydrolase
PYIM01049370.1,Virus,1466,+,32.47,MORN MORN MORN MORN MORN MORN MORN MORN
PYIM01053350.1,Uncertain - viral or bacterial,619,+,--
PYIM01054400.1,Uncertain - viral or bacterial,1165,+,--
PYIM01061816.1,Uncertain - viral or bacterial,552,+,--
PYIM01066432.1,Uncertain - viral or bacterial,597,+,--
PYIM01067716.1,Uncertain - plasmid or chromosomal,596,+,0.03,LamB_YcsF LamB_YcsF
PYIM01070709.1,Uncertain - viral or bacterial,565,+,--
PYIM01086194.1,Uncertain - viral or bacterial,597,+,--
PYIM01088219.1,Uncertain - viral or bacterial,1148,+,--
PYIM01088778.1,Uncertain - viral or bacterial,1701,+,--
PYIM01089644.1,Uncertain - plasmid or chromosomal,556,+,-2.06,FTSW_RODA_SPOVE
PYIM01089679.1,Uncertain - viral or bacterial,574,+,--
PYIM01089743.1,Uncertain - viral or bacterial,507,+,--
PYIM01089753.1,Uncertain - viral or bacterial,687,+,--
PYIM01089775.1,Uncertain - viral or bacterial,564,+,--
PYIM01089784.1,Uncertain - viral or bacterial,648,+,--
PYIM01089812.1,Uncertain - viral or bacterial,513,+,--
PYIM01089864.1,Uncertain - viral or bacterial,531,+,--
PYIM01089891.1,Uncertain - viral or bacterial,528,+,--
PYIM01089952.1,Uncertain - viral or bacterial,600,+,--
PYIM01089963.1,Uncertain - viral or bacterial,597,+,--
PYIM01090041.1,Plasmid,5189,+,18.51,Relaxase MobC Replicase PriCT_1 HTH_7 HTH_23 GerE
PYIM01090188.1,Uncertain - viral or bacterial,693,+,--
PYIM01090213.1,Uncertain - viral or bacterial,501,+,--
PYIM01090230.1,Uncertain - viral or bacterial,600,+,--
PYIM01090286.1,Uncertain - viral or bacterial,518,+,--
PYIM01090397.1,Uncertain - viral or bacterial,4241,+,--
PYIM01090410.1,Uncertain - viral or bacterial,522,+,--
PYIM01090427.1,Uncertain - viral or bacterial,501,+,--
PYIM01090484.1,Uncertain - viral or bacterial,519,+,--
PYIM01090498.1,Uncertain - viral or bacterial,508,+,--
PYIM01090536.1,Uncertain - viral or bacterial,669,+,--
PYIM01090568.1,Uncertain - viral or bacterial,1457,+,--
PYIM01090603.1,Uncertain - viral or bacterial,774,+,--
PYIM01090636.1,Chromosome,635,+,-6.72,DUF3576
PYIM01090682.1,Uncertain - viral or bacterial,660,+,--
PYIM01090722.1,Uncertain - viral or bacterial,1374,+,--
PYIM01090733.1,Uncertain - viral or bacterial,705,+,--
PYIM01090763.1,Uncertain - viral or bacterial,588,+,--
PYIM01090796.1,Uncertain - viral or bacterial,687,+,--
PYIM01090807.1,Uncertain - viral or bacterial,619,+,--
PYIM01090815.1,Uncertain - viral or bacterial,639,+,--
PYIM01090848.1,Chromosome,585,+,-4.61,PGI PGI
PYIM01090860.1,Uncertain - viral or bacterial,561,+,--
PYIM01090914.1,Chromosome,710,+,-4.00,EF_TS
PYIM01090924.1,Uncertain - viral or bacterial,555,+,--
PYIM01090949.1,Uncertain - viral or bacterial,540,+,--
PYIM01091004.1,Uncertain - viral or bacterial,524,+,--
PYIM01091013.1,Uncertain - viral or bacterial,570,+,--
PYIM01091035.1,Uncertain - viral or bacterial,582,+,--
PYIM01091077.1,Uncertain - viral or bacterial,531,+,--
PYIM01091089.1,Uncertain - plasmid or chromosomal,958,+,1.23,BPD_transp_1 BPD_transp_1
PYIM01091106.1,Uncertain - viral or bacterial,633,+,--
PYIM01091198.1,Uncertain - viral or bacterial,941,+,--
PYIM01091220.1,Uncertain - viral or bacterial,564,+,--
PYIM01091257.1,Uncertain - viral or bacterial,936,+,--
PYIM01091349.1,Uncertain - viral or bacterial,542,+,--
PYIM01091436.1,Uncertain - viral or bacterial,510,+,--
PYIM01091453.1,Uncertain - plasmid or chromosomal,554,+,-1.18,DUF4422
PYIM01091464.1,Uncertain - viral or bacterial,604,+,--
PYIM01091469.1,Uncertain - viral or bacterial,555,+,--
PYIM01091494.1,Uncertain - viral or bacterial,618,+,--
PYIM01091541.1,Uncertain - viral or bacterial,528,+,--
PYIM01091655.1,Uncertain - viral or bacterial,561,+,--
PYIM01091682.1,Uncertain - viral or bacterial,621,+,--
PYIM01091702.1,Uncertain - plasmid or chromosomal,582,+,-2.80,S4
PYIM01091757.1,Uncertain - viral or bacterial,516,+,--
PYIM01091769.1,Uncertain - viral or bacterial,525,+,--
PYIM01091818.1,Uncertain - viral or bacterial,822,+,--
PYIM01091853.1,Uncertain - viral or bacterial,763,+,--
PYIM01091904.1,Uncertain - viral or bacterial,503,+,--
PYIM01091937.1,Uncertain - viral or bacterial,621,+,--
PYIM01091959.1,Uncertain - viral or bacterial,528,+,--
PYIM01092018.1,Uncertain - viral or bacterial,651,+,--
PYIM01092070.1,Uncertain - viral or bacterial,534,+,--
PYIM01092167.1,Uncertain - viral or bacterial,582,+,--
PYIM01092260.1,Uncertain - viral or bacterial,600,+,--
PYIM01092356.1,Uncertain - viral or bacterial,600,+,--
PYIM01092425.1,Uncertain - viral or bacterial,1333,+,--
PYIM01092433.1,Uncertain - viral or bacterial,588,+,--
PYIM01092523.1,Uncertain - viral or bacterial,666,+,--
PYIM01092560.1,Uncertain - viral or bacterial,546,+,--
PYIM01092593.1,Uncertain - viral or bacterial,552,+,--
PYIM01092605.1,Uncertain - viral or bacterial,636,+,--
PYIM01092619.1,Chromosome,500,+,-6.10,DXP_reductoisom DXP_redisom_C
PYIM01092668.1,Uncertain - viral or bacterial,1380,+,--
PYIM01092711.1,Uncertain - viral or bacterial,570,+,--
PYIM01092726.1,Uncertain - viral or bacterial,531,+,--
PYIM01092758.1,Uncertain - viral or bacterial,555,+,--
PYIM01092807.1,Uncertain - viral or bacterial,557,+,--
PYIM01092827.1,Uncertain - viral or bacterial,600,+,--
PYIM01092924.1,Uncertain - viral or bacterial,681,+,--
PYIM01092935.1,Uncertain - viral or bacterial,510,+,--
PYIM01092953.1,Uncertain - viral or bacterial,516,+,--
PYIM01092981.1,Uncertain - viral or bacterial,543,+,--
PYIM01093012.1,Uncertain - viral or bacterial,534,+,--
PYIM01093022.1,Uncertain - viral or bacterial,693,+,--
PYIM01093037.1,Uncertain - viral or bacterial,630,+,--
PYIM01093096.1,Uncertain - viral or bacterial,534,+,--
PYIM01093202.1,Uncertain - viral or bacterial,501,+,--
PYIM01093404.1,Uncertain - viral or bacterial,718,+,--
PYIM01093415.1,Uncertain - viral or bacterial,519,+,--
PYIM01093545.1,Uncertain - viral or bacterial,622,+,--
PYIM01093593.1,Uncertain - viral or bacterial,573,+,--
PYIM01093607.1,Uncertain - viral or bacterial,608,+,--
PYIM01093646.1,Uncertain - viral or bacterial,522,+,--
PYIM01093742.1,Uncertain - viral or bacterial,549,+,--
PYIM01093904.1,Chromosome,702,+,-5.83,Porphobil_deamC Porphobil_deam
PYIM01093932.1,Uncertain - viral or bacterial,561,+,--
PYIM01094079.1,Uncertain - viral or bacterial,528,+,--
PYIM01094140.1,Uncertain - viral or bacterial,585,+,--
PYIM01094177.1,Virus,2129,+,3.14,N6_N4_Mtase N6_N4_Mtase
PYIM01094285.1,Uncertain - viral or bacterial,525,+,--
